0,屋号,営業所所在地,営業所所在地ビル名,営業者氏名,営業者住所,営業の種類,申請区分,営業所電話番号,初回許可日,営業者電話番号,代表者氏名
5291,炭火串焼  小鐵,東京都東大和市南街３丁目３０番地の１７,,,,飲食店営業(一般飲食店),更新,042-564-8000,1998/12/24,,
5292,生そば　大むら,東京都東大和市南街４丁目１６番地の１０,,,,飲食店営業(そば屋),更新,042-561-2421,2005/11/1,,
5293,ぐらばぁ亭,東京都東大和市南街４丁目１６番地の１０,,,,飲食店営業(一般飲食店),更新,042-563-7569,2005/10/13,,
5294,すし居酒家まつ,東京都東大和市南街４丁目２０番地の３,平井ビル１階,,,飲食店営業(すし屋),更新,042-563-0354,1973/8/24,,
5295,海鮮居酒屋　宮古,東京都東大和市南街４丁目３番地の２,諸江ビル１F,,,飲食店営業(一般飲食店),新規,042-565-6888,2017/1/27,,
5296,パブ　夢,東京都東大和市南街４丁目３番地の２,諸江ビル１F,,,飲食店営業(一般飲食店),新規,042-566-5105,2017/9/26,,
5297,セブン－イレブン　東大和南街４丁目店,東京都東大和市南街４丁目８番地の３６,,,,飲食店営業(一般飲食店),新規,042-567-6935,2017/5/24,,
5298,セブン－イレブン　東大和南街４丁目店,東京都東大和市南街４丁目８番地の３６,,,,乳類販売業(ショーケース売り),新規,042-567-6935,2017/5/24,,
5299,セブン－イレブン　東大和南街４丁目店,東京都東大和市南街４丁目８番地の３６,,,,食肉販売業(包装),新規,042-567-6935,2017/5/24,,
5300,セブン－イレブン　東大和南街４丁目店,東京都東大和市南街４丁目８番地の３６,,,,魚介類販売業(包装),新規,042-567-6935,2017/5/24,,
5301,セブン－イレブン　東大和南街４丁目店,東京都東大和市南街４丁目８番地の３６,,,,食料品等販売業(店舗),新規,042-567-6935,2017/5/24,,
5302,寿し満月,東京都東大和市南街５丁目１３番地の４,,,,飲食店営業(すし屋),更新,0425-61-3858,1979/9/18,,
5303,居酒屋小幸,東京都東大和市南街５丁目３７番地の１０,,,,飲食店営業(一般飲食店),更新,,1999/4/9,,
5304,いなげや東大和店 デリカ,東京都東大和市南街５丁目３番地の１,いなげや東大和店３Ｆ,株式会社 いなげや,東京都立川市栄町６丁目１番地の１,菓子製造業(生菓子製造業),新規,042-561-4558,2017/3/16,0425-37-5121,成瀬　直人
5305,居酒屋海臨丸,東京都東大和市南街５丁目４１番地の８,イサハヤホーメストビル１F,,,飲食店営業(一般飲食店),新規,,2017/4/24,,
5306,インフィニティ,東京都東大和市南街５丁目６６番地の２,斉藤ビル２０２,,,飲食店営業(一般飲食店),新規,042-516-8941,2017/3/10,,
5307,居酒屋　花小町,東京都東大和市南街５丁目７０番地の４,高橋ビル１階,,,飲食店営業(一般飲食店),更新,042-567-0349,2004/4/27,,
5308,Ｅ－ｎｅ♪いいね,東京都東大和市南街５丁目８７番地の１２,南街金森店舗１F・A号,株式会社ハートウォームシティ,東京都府中市押立町５丁目１７番地の４０,飲食店営業(一般飲食店),新規,042-843-6214,2017/8/1,042-484-3577,仲澤　克一
5309,フラバル,東京都東大和市南街５丁目８７番地の１２,南街金森店舗Ａ号室,,,飲食店営業(一般飲食店),新規,,2017/4/11,,
5310,たらふく,東京都東大和市南街５丁目８８番地の１８,,,,飲食店営業(一般飲食店),新規,042-843-6529,2017/10/5,,
5311,和来亭,東京都東大和市南街５丁目９５番地の６,エトワール関谷１F,建偉株式会社,東京都東村山市萩山町１丁目２７番地３６パールハイム１０１,飲食店営業(一般飲食店),新規,042-567-1669,2017/9/22,042-657-1669,王廷珠
5312,ＲＯＳＡ,東京都東大和市南街５丁目９６番地の６,平塚ビル地下１階,Ｋ．Ｍ．Ｊ合同会社,東京都東大和市南街５丁目９６番地の６,飲食店営業(一般飲食店),新規,042-563-1122,2017/10/31,042-563-1122,村上　リチャード
5313,いざかや　とんとこ,東京都東大和市南街６丁目４８番地の４,伊藤ビルＢ１,,,飲食店営業(一般飲食店),新規,042-843-9077,2017/2/20,,
5314,Ｐａｒｔｉｒｅ　ｊｕｎ,東京都東大和市立野１丁目１２番地の３５,,,,飲食店営業(一般飲食店),新規,042-590-4525,2017/10/17,,
5315,てっぱん市場,東京都東大和市立野２丁目２番地の１０,,有限会社イズモ商亊,東京都東大和市南街６丁目４８番地の４,飲食店営業(一般飲食店),更新,042-843-8170,2011/7/19,042-563-6088,伊藤　良雄
5316,そんぽの家　上北台,東京都東大和市立野２丁目３番地の１１,,ＳＯＭＰＯケアフーズ株式会社,東京都品川区東品川四丁目１２番８号,飲食店営業(集団給食),新規,042-566-8822,2017/1/17,03-5715-1755,森脇　憲一郎
5317,生活協同組合コープみらい コープ上北台店,東京都東大和市立野２丁目３番地の５,,生活協同組合コープみらい,埼玉県さいたま市南区根岸１丁目５番５号,飲食店営業(弁当屋),新規,042-562-2251,2017/5/11,048-839-1658,熊﨑　伸
5318,生活協同組合コープみらい コープ上北台店,東京都東大和市立野２丁目３番地の５,,生活協同組合コープみらい,埼玉県さいたま市南区根岸１丁目５番５号,喫茶店営業(店舗),新規,042-562-2251,2017/5/11,048-839-1658,熊﨑　伸
5319,森永乳業株式会社東京多摩工場,東京都東大和市立野４丁目５１５番地,,森永乳業株式会社,東京都港区芝５丁目３３番１号,乳処理業,更新,042-561-2111,1966/2/9,03-3798-0111,宮原　道夫
5320,森永乳業株式会社東京多摩工場,東京都東大和市立野４丁目５１５番地,,森永乳業株式会社,東京都港区芝５丁目３３番１号,乳製品製造業,更新,042-561-2111,1966/2/9,03-3798-0111,宮原　道夫
5321,セブンイレブン東大和立野４丁目店,東京都東大和市立野４丁目５６７番地の２,,,,飲食店営業(一般飲食店),新規,042-562-6277,2017/11/15,,
5322,森永乳業株式会社大和工場　事務充填棟,東京都東大和市立野４丁目６０１番地,,森永乳業株式会社,東京都港区芝５丁目３３番１号,粉末食品製造業,更新,0425-61-1701,1978/3/9,03-3798-0111,宮原　道夫
5323,コニカミノルタビジネスアソシエイツ株式会社,東京都日野市さくら町１番地,,コニカミノルタビジネスアソシエイツ株式会社,東京都日野市さくら町１番地,喫茶店営業(店舗),新規,042-589-3880,2017/5/12,042-589-3880,小松　弘明
5324,ファミリーマート日野バイパス店,東京都日野市旭が丘２丁目４４番地の１,,株式会社こうとく,東京都日野市多摩平３丁目２番地の１,菓子製造業(その他の菓子製造業),新規,042-589-2441,2017/4/24,042-514-9261,藤嶋　耕徳
5325,珉珉,東京都日野市旭が丘２丁目５番地の３,,有限会社鈴商,東京都日野市多摩平３丁目３番地の１４,飲食店営業(一般飲食店),新規,,2017/2/22,,鈴木　淳子
5326,ダイレックス日野旭が丘店,東京都日野市旭が丘２丁目８番地の１３,,株式会社サンドラッグ,東京都府中市若松町一丁目３８番地の１,乳類販売業(ショーケース売り),新規,042-582-6125,2017/3/23,042-369-6411,才津　達郎
5327,ダイレックス日野旭が丘店,東京都日野市旭が丘２丁目８番地の１３,,株式会社サンドラッグ,東京都府中市若松町一丁目３８番地の１,食肉販売業(包装),新規,042-582-6125,2017/3/23,042-369-6411,才津　達郎
5328,ダイレックス日野旭が丘店,東京都日野市旭が丘２丁目８番地の１３,,株式会社サンドラッグ,東京都府中市若松町一丁目３８番地の１,食料品等販売業(包装),新規,042-582-6125,2017/3/23,042-369-6411,才津　達郎
5329,バリューネットワーク日野旭が丘店,東京都日野市旭が丘２丁目８番地の１３,,,,食肉販売業(一般),新規,042-843-2981,2017/3/29,,
5330,株式会社ラベイユ　ロジスティックスセンター,東京都日野市旭が丘３丁目２番地の１６,株式会社　大崎　日野営業所2階,株式会社ラベイユ,東京都杉並区天沼３丁目２７番９号,製菓材料等製造業,更新,042-589-3398,2011/8/12,03-3398-1775,白仁田　雄二
5331,ファミリーマート日野旭ヶ丘３丁目店,東京都日野市旭が丘３丁目３番地の１５,,株式会社タイレル,東京都府中市本町四丁目２３番地２,菓子製造業(その他の菓子製造業),新規,042-582-7455,2017/5/8,042-360-5779,宇田　雅志
5332,宅配クック１２３　八王子東部日野店,東京都日野市旭が丘６丁目１２番地の２０,,株式会社インターシステム,東京都八王子市中野山王一丁目１９番１５号,乳類販売業(専業),新規,042-583-1011,2017/6/15,042-626-3221,田中賢治郎
5333,生活共同組合コープみらい　コープ日野駅前店,東京都日野市栄町１丁目３０番地の１,,生活協同組合コープみらい,埼玉県さいたま市南区根岸１丁目５番５号,乳類販売業(ショーケース売り),更新,042-584-4618,1982/6/23,048-864-1181,熊﨑　伸
5334,生活共同組合コープみらい　コープ日野駅前店,東京都日野市栄町１丁目３０番地の１,,生活協同組合コープみらい,埼玉県さいたま市南区根岸１丁目５番５号,食肉販売業(包装),更新,042-584-4618,1982/6/23,048-864-1181,熊﨑　伸
5335,生活共同組合コープみらい　コープ日野駅前店,東京都日野市栄町１丁目３０番地の１,,生活協同組合コープみらい,埼玉県さいたま市南区根岸１丁目５番５号,魚介類販売業(包装),更新,042-584-4618,1982/6/23,048-864-1181,熊﨑　伸
5336,めんりき　匠,東京都日野市栄町１丁目３０番地の１,藤栄ビル１Ｆ,,,飲食店営業(一般飲食店),新規,042-585-2727,2017/4/28,,
5337,ファミリーマート日野栄町店,東京都日野市栄町１丁目４５番地の１,,株式会社こうとく,東京都日野市多摩平３丁目２番地の１,菓子製造業(その他の菓子製造業),新規,042-589-2361,2017/4/25,042-514-9261,藤嶋　耕徳
5338,ナガハラファーム,東京都日野市栄町４丁目２４番地の３６,,,,菓子製造業(その他の菓子製造業),新規,,2017/10/20,,
5339,ナガハラファーム,東京都日野市栄町４丁目２４番地の３６,,,,つけ物製造業,新規,,2017/11/27,,
5340,郵便事業株式会社　日野支店,東京都日野市宮３４５番地,,有限会社ライフ・フードサービス,東京都八王子市西寺方町１０１９番地の１０６,飲食店営業(集団給食),更新,042-586-7004,2011/3/22,042-651-1256,關根　敏夫
5341,食品の店おおた 高幡店,東京都日野市高幡１００２番地６,,株式会社 食品の店 おおた,東京都日野市多摩平６丁目１２番地の１１,飲食店営業(そうざい店),更新,042-599-7755,1997/5/6,042-585-5550,太田直治
5342,食品の店おおた 高幡店,東京都日野市高幡１００２番地６,,株式会社 食品の店 おおた,東京都日野市多摩平６丁目１２番地の１１,乳類販売業(ショーケース売り),更新,042-599-7755,1997/5/6,042-585-5550,太田直治
5343,食品の店おおた 高幡店,東京都日野市高幡１００２番地６,,株式会社 食品の店 おおた,東京都日野市多摩平６丁目１２番地の１１,食料品等販売業(店舗),更新,042-599-7755,1997/5/6,042-585-5550,太田直治
5344,株式会社　京王ストア　高幡店　１階惣菜厨房（パン・ドーナツ類）,東京都日野市高幡１１６番地１０,京王高幡ＳＣ１階,株式会社  京王ストア,東京都多摩市関戸１丁目１１番地１,菓子製造業(パン製造業),新規,042-592-3111,2017/3/24,042-337-2851,川瀬　明伸
5345,ファミリーマート　京王高幡駅ビル店,東京都日野市高幡１２８番地５,,株式会社奈奈,東京都多摩市桜ヶ丘三丁目１４番の２,飲食店営業(一般飲食店),新規,042-599-1350,2017/6/14,042-372-2157,須崎　正哲
5346,ファミリーマート　京王高幡駅ビル店,東京都日野市高幡１２８番地５,,株式会社奈奈,東京都多摩市桜ヶ丘三丁目１４番の２,菓子製造業(その他の菓子製造業),新規,042-599-1350,2017/6/14,042-372-2157,須崎　正哲
5347,ファミリーマート　京王高幡駅ビル店,東京都日野市高幡１２８番地５,,株式会社奈奈,東京都多摩市桜ヶ丘三丁目１４番の２,乳類販売業(ショーケース売り),新規,042-599-1350,2017/6/14,042-372-2157,須崎　正哲
5348,ファミリーマート　京王高幡駅ビル店,東京都日野市高幡１２８番地５,,株式会社奈奈,東京都多摩市桜ヶ丘三丁目１４番の２,食肉販売業(包装),新規,042-599-1350,2017/6/14,042-372-2157,須崎　正哲
5349,ファミリーマート　京王高幡駅ビル店,東京都日野市高幡１２８番地５,,株式会社奈奈,東京都多摩市桜ヶ丘三丁目１４番の２,魚介類販売業(包装),新規,042-599-1350,2017/6/14,042-372-2157,須崎　正哲
5350,ファミリーマート　京王高幡駅ビル店,東京都日野市高幡１２８番地５,,株式会社奈奈,東京都多摩市桜ヶ丘三丁目１４番の２,食料品等販売業(店舗),新規,042-599-1350,2017/6/14,042-372-2157,須崎　正哲
5351,パブ・スナック　さちこ,東京都日野市高幡１４５番地,,,,飲食店営業(一般飲食店),更新,042-591-4237,1991/10/17,,
5352,弁天,東京都日野市高幡１５２番地,１階,,,飲食店営業(一般飲食店),新規,042-592-4032,2017/12/20,,
5353,韓菜酒房　古里家,東京都日野市高幡１５４番地,２Ｆ,株式会社東光コーポレーション,東京都日野市高幡１５４番地,飲食店営業(一般飲食店),更新,042-592-4050,2011/3/25,042-592-4050,曺　一男
5354,焼肉彩苑　モランボン,東京都日野市高幡１５４番地,１Ｆ,株式会社東光コーポレーション,東京都日野市高幡１５４番地,飲食店営業(一般飲食店),更新,042-591-4533,2011/3/25,042-591-4533,曺　一男
5355,株式会社高幡まんじゅう 本工場,東京都日野市高幡１５番地１１,多宝ビル２Ｆ,株式会社高幡まんじゅう松盛堂,東京都日野市高幡１番地１,菓子製造業(その他の菓子製造業),更新,042-592-8584,1999/3/29,042-592-2256,峯岸 弘行
5356,和光同塵　季よせ,東京都日野市高幡１番地１４,大石ビル１号,,,飲食店営業(弁当屋),更新,042-593-0635,2010/12/9,,
5357,和光同塵　季よせ,東京都日野市高幡１番地１４,大石ビル１号,,,菓子製造業(生菓子製造業),更新,042-593-0635,2005/11/17,,
5358,和光同塵　季よせ,東京都日野市高幡１番地１４,大石ビル１号,,,食料品等販売業(店舗),更新,042-593-0635,2010/12/9,,
5359,ファミリーマート　高幡不動,東京都日野市高幡２番地１２,,有限会社久保田,東京都日野市高幡２番地の１２,飲食店営業(一般飲食店),新規,042-599-0081,2017/9/20,042-599-0081,久保田　智子
5360,ファミリーマート　高幡不動,東京都日野市高幡２番地１２,,有限会社久保田,東京都日野市高幡２番地の１２,菓子製造業(その他の菓子製造業),新規,042-599-0081,2017/9/20,042-599-0081,久保田　智子
5361,ファミリーマート　高幡不動,東京都日野市高幡２番地１２,,有限会社久保田,東京都日野市高幡２番地の１２,乳類販売業(ショーケース売り),新規,042-599-0081,2017/9/20,042-599-0081,久保田　智子
5362,ファミリーマート　高幡不動,東京都日野市高幡２番地１２,,有限会社久保田,東京都日野市高幡２番地の１２,食肉販売業(包装),新規,042-599-0081,2017/9/20,042-599-0081,久保田　智子
5363,ファミリーマート　高幡不動,東京都日野市高幡２番地１２,,有限会社久保田,東京都日野市高幡２番地の１２,魚介類販売業(包装),新規,042-599-0081,2017/9/20,042-599-0081,久保田　智子
5364,ファミリーマート　高幡不動,東京都日野市高幡２番地１２,,有限会社久保田,東京都日野市高幡２番地の１２,食料品等販売業(店舗),新規,042-599-0081,2017/9/20,042-599-0081,久保田　智子
5365,居酒屋　やまと,東京都日野市高幡３３３番地５,,,,飲食店営業(一般飲食店),更新,042-592-0719,1973/4/6,,
5366,夢や,東京都日野市高幡５２８番地５,,,,飲食店営業(一般飲食店),更新,042-592-8335,2011/5/23,,
5367,カフェ　エンジェル,東京都日野市高幡６７０番地の２,仲田ビル101,,,飲食店営業(一般飲食店),新規,,2017/4/4,,
5368,ビリヤード　ＡＬＣＥＤＯ,東京都日野市高幡７０６番地２,久野第３ビル１０１,,,飲食店営業(バー・キャバレー),新規,,2017/12/7,,
5369,峠の茶屋　あおい,東京都日野市高幡７３３番地,高幡不動尊境内,有限会社四季会席葵,東京都日野市高幡１５９番地の１,飲食店営業(一般飲食店),更新,,2011/9/20,042-660-5123,土方　淳
5370,峠の茶屋　あおい,東京都日野市高幡７３３番地,高幡不動尊境内,有限会社四季会席葵,東京都日野市高幡１５９番地の１,食料品等販売業(店舗),更新,,2011/9/20,042-660-5123,土方　淳
5371,ファミリーマート日野三沢店,東京都日野市三沢１丁目１０番地の２,,有限会社谷井建物管理,東京都日野市南平五丁目７番地４,飲食店営業(一般飲食店),新規,042-599-8021,2017/7/21,042-591-0058,谷井　剛
5372,ファミリーマート日野三沢店,東京都日野市三沢１丁目１０番地の２,,有限会社谷井建物管理,東京都日野市南平五丁目７番地４,菓子製造業(その他の菓子製造業),新規,042-599-8021,2017/7/21,042-591-0058,谷井　剛
5373,ファミリーマート日野三沢店,東京都日野市三沢１丁目１０番地の２,,有限会社谷井建物管理,東京都日野市南平五丁目７番地４,乳類販売業(ショーケース売り),新規,042-599-8021,2017/7/21,042-591-0058,谷井　剛
5374,ファミリーマート日野三沢店,東京都日野市三沢１丁目１０番地の２,,有限会社谷井建物管理,東京都日野市南平五丁目７番地４,食肉販売業(包装),新規,042-599-8021,2017/7/21,042-591-0058,谷井　剛
5375,ファミリーマート日野三沢店,東京都日野市三沢１丁目１０番地の２,,有限会社谷井建物管理,東京都日野市南平五丁目７番地４,魚介類販売業(包装),新規,042-599-8021,2017/7/21,042-591-0058,谷井　剛
5376,ファミリーマート日野三沢店,東京都日野市三沢１丁目１０番地の２,,有限会社谷井建物管理,東京都日野市南平五丁目７番地４,食料品等販売業(包装),新規,042-599-8021,2017/7/21,042-591-0058,谷井　剛
5377,とことこ,東京都日野市三沢２５２番地１,,,,飲食店営業(弁当屋),新規,,2017/3/24,,
5378,セブンイレブン　日野三沢店,東京都日野市三沢３丁目２番地の８,,,,飲食店営業(一般飲食店),新規,042-593-7107+,2017/2/20,,
5379,セブンイレブン　日野三沢店,東京都日野市三沢３丁目２番地の８,,,,乳類販売業(ショーケース売り),新規,042-593-7107+,2017/2/20,,
5380,セブンイレブン　日野三沢店,東京都日野市三沢３丁目２番地の８,,,,食肉販売業(包装),新規,042-593-7107+,2017/2/20,,
5381,セブンイレブン　日野三沢店,東京都日野市三沢３丁目２番地の８,,,,魚介類販売業(包装),新規,042-593-7107+,2017/2/20,,
5382,セブンイレブン　日野三沢店,東京都日野市三沢３丁目２番地の８,,,,食料品等販売業(店舗),新規,042-593-7107+,2017/2/20,,
5383,タイ料理　まい,東京都日野市三沢３丁目４６番地の２,,,,飲食店営業(一般飲食店),更新,042-592-0664,2011/3/15,,
5384,東京南農業協同組合,東京都日野市三沢３丁目５３番地の１５,,東京南農業協同組合,東京都日野市三沢３丁目５３番地の１５,飲食店営業(弁当屋),更新,042-591-2011,2004/12/24,042-591-2011,小林　和男
5385,東京南農業協同組合,東京都日野市三沢３丁目５３番地の１５,,東京南農業協同組合,東京都日野市三沢３丁目５３番地の１５,菓子製造業(生菓子製造業),更新,042-591-2011,2004/12/24,042-591-2011,小林　和男
5386,日野しらゆり幼稚園　アイコーメディカル,東京都日野市新町１丁目１４番地の１,,株式会社アイコーメディカル,愛知県小牧市高根一丁目２００番地,飲食店営業(集団給食),新規,042-582-1772,2017/8/31,0568-78-0966,加藤　弥生
5387,鳥貴族　日野店,東京都日野市新町１丁目１８番地の７,キャピタルノア日野２Ｆ,トラオム株式会社,大阪府大阪市浪速区立葉１丁目２番１２号ナミコービル３階,飲食店営業(一般飲食店),更新,042-587-9688,2011/2/14,06-7494-6002,堀江　新一
5388,BAR&DINING　River　Side,東京都日野市新町１丁目１９番地の１,ボナールレジデンス２F,,,飲食店営業(一般飲食店),更新,042-584-1044,2011/5/27,,
5389,めんや　友絆,東京都日野市新町１丁目２４番地の７,西田様方１Ｆ,,,飲食店営業(一般飲食店),新規,042-849-3207,2017/3/13,,
5390,肉の福井屋,東京都日野市新町１丁目５番地の１０,,,,飲食店営業(そうざい店),更新,042-581-1137,1971/1/11,,
5391,肉の福井屋,東京都日野市新町１丁目５番地の１０,,,,食肉販売業(一般),更新,042-581-1137,1971/1/11,,
5392,豊年屋,東京都日野市新町１丁目６番地の３９,,,,飲食店営業(そば屋),更新,042-581-5316,1981/9/25,,
5393,日野自動車（株）健保クラブ,東京都日野市新町２丁目１４番地,,ユーレストジャパン株式会社,東京都中央区築地5丁目5番12号,飲食店営業(一般飲食店),更新,042-581-3572,1990/12/28,,泉川　玲香
5394,ファミリーマート日野神明店,東京都日野市神明１丁目１４番地の８,,,,菓子製造業(その他の菓子製造業),新規,042-589-2945,2017/4/28,,
5395,食品の店おおた　神明店,東京都日野市神明２丁目１６番地の７,,株式会社食品の店おおた,東京都日野市多摩平６丁目１２番地の１１,飲食店営業(弁当屋),新規,042-585-7721,2017/5/31,042-585-5550,太田　直治
5396,食品の店おおた　神明店,東京都日野市神明２丁目１６番地の７,,株式会社食品の店おおた,東京都日野市多摩平６丁目１２番地の１１,飲食店営業(そうざい店),新規,042-585-7721,2017/5/31,042-585-5550,太田　直治
5397,食品の店おおた　神明店,東京都日野市神明２丁目１６番地の７,,株式会社食品の店おおた,東京都日野市多摩平６丁目１２番地の１１,乳類販売業(ショーケース売り),新規,042-585-7721,2017/5/31,042-585-5550,太田　直治
5398,食品の店おおた　神明店,東京都日野市神明２丁目１６番地の７,,株式会社食品の店おおた,東京都日野市多摩平６丁目１２番地の１１,食肉販売業(一般),新規,042-585-7721,2017/5/31,042-585-5550,太田　直治
5399,食品の店おおた　神明店,東京都日野市神明２丁目１６番地の７,,株式会社食品の店おおた,東京都日野市多摩平６丁目１２番地の１１,魚介類販売業(一般),新規,042-585-7721,2017/5/31,042-585-5550,太田　直治
5400,食品の店おおた　神明店,東京都日野市神明２丁目１６番地の７,,株式会社食品の店おおた,東京都日野市多摩平６丁目１２番地の１１,食料品等販売業(店舗),新規,042-585-7721,2017/5/31,042-585-5550,太田　直治
5401,食事処　テラ亭,東京都日野市神明２丁目１６番地の７,,,,飲食店営業(一般飲食店),更新,,2011/8/31,,
5402,ローソン日野神明二丁目店,東京都日野市神明２丁目２番地の５,,,,飲食店営業(一般飲食店),更新,042-585-1605,2011/8/1,,
5403,ローソン日野神明二丁目店,東京都日野市神明２丁目２番地の５,,,,菓子製造業(その他の菓子製造業),更新,042-585-1605,2011/8/1,,
5404,ローソン日野神明二丁目店,東京都日野市神明２丁目２番地の５,,,,乳類販売業(ショーケース売り),更新,042-585-1605,2011/8/1,,
5405,ローソン日野神明二丁目店,東京都日野市神明２丁目２番地の５,,,,食肉販売業(包装),更新,042-585-1605,2011/8/1,,
5406,ローソン日野神明二丁目店,東京都日野市神明２丁目２番地の５,,,,魚介類販売業(包装),更新,042-585-1605,2011/8/1,,
5407,ローソン日野神明二丁目店,東京都日野市神明２丁目２番地の５,,,,食料品等販売業(店舗),更新,042-585-1605,2011/8/1,,
5408,ウェルパーク　日野神明店,東京都日野市神明２丁目８番地の１,,株式会社　ウェルパーク,東京都立川市栄町６丁目１番地の１,乳類販売業(ショーケース売り),更新,042-583-1547,2005/4/28,042-537-5274,國光　良昭
5409,ウェルパーク　日野神明店,東京都日野市神明２丁目８番地の１,,株式会社　ウェルパーク,東京都立川市栄町６丁目１番地の１,食料品等販売業(店舗),更新,042-583-1547,2005/4/28,042-537-5274,國光　良昭
5410,スナック　冬夏,東京都日野市神明４丁目１０番地の１５,,,,飲食店営業(一般飲食店),新規,042-581-0256,2017/12/26,,
5411,セブンイレブン　日野神明４丁目店,東京都日野市神明４丁目２２番地の１５,,,,飲食店営業(一般飲食店),新規,042-585-4001,2017/1/24,,
5412,セブンイレブン　日野神明４丁目店,東京都日野市神明４丁目２２番地の１５,,,,乳類販売業(ショーケース売り),新規,042-585-4001,2017/1/24,,
5413,セブンイレブン　日野神明４丁目店,東京都日野市神明４丁目２２番地の１５,,,,食肉販売業(包装),新規,042-585-4001,2017/1/24,,
5414,セブンイレブン　日野神明４丁目店,東京都日野市神明４丁目２２番地の１５,,,,魚介類販売業(包装),新規,042-585-4001,2017/1/24,,
5415,セブンイレブン　日野神明４丁目店,東京都日野市神明４丁目２２番地の１５,,,,食料品等販売業(店舗),新規,042-585-4001,2017/1/24,,
5416,そば処中清,東京都日野市西平山１丁目１３番地の２,,,,飲食店営業(そば屋),新規,,2017/10/26,,
5417,小宮山商店,東京都日野市西平山５丁目２２番地の７,,,,食肉販売業(包装),更新,042-584-0432,2005/12/1,,
5418,小宮山商店,東京都日野市西平山５丁目２２番地の７,,,,魚介類販売業(包装),更新,042-584-0432,2005/12/1,,
5419,小宮山商店,東京都日野市西平山５丁目２２番地の７,,,,食料品等販売業(包装),更新,042-584-0432,2005/12/1,,
5420,ローソン日野石田1丁目店,東京都日野市石田一丁目１８番地９,,,,飲食店営業(一般飲食店),新規,,2017/6/5,,
5421,ローソン日野石田1丁目店,東京都日野市石田一丁目１８番地９,,,,菓子製造業(その他の菓子製造業),新規,,2017/6/5,,
5422,ローソン日野石田1丁目店,東京都日野市石田一丁目１８番地９,,,,乳類販売業(ショーケース売り),新規,,2017/6/5,,
5423,ローソン日野石田1丁目店,東京都日野市石田一丁目１８番地９,,,,食肉販売業(包装),新規,,2017/6/5,,
5424,ローソン日野石田1丁目店,東京都日野市石田一丁目１８番地９,,,,魚介類販売業(包装),新規,,2017/6/5,,
5425,ローソン日野石田1丁目店,東京都日野市石田一丁目１８番地９,,,,食料品等販売業(包装),新規,,2017/6/5,,
5426,山田農園,東京都日野市川辺堀之内２４２番地,,,,つけ物製造業,更新,042-581-7262,2005/11/1,,
5427,ローソン・スリーエフ日野多摩平店,東京都日野市多摩平１丁目１０番地の４,,,,飲食店営業(一般飲食店),新規,042-585-8755,2017/11/17,,
5428,ローソン・スリーエフ日野多摩平店,東京都日野市多摩平１丁目１０番地の４,,,,菓子製造業(その他の菓子製造業),新規,042-585-8755,2017/11/17,,
5429,ローソン・スリーエフ日野多摩平店,東京都日野市多摩平１丁目１０番地の４,,,,乳類販売業(ショーケース売り),新規,042-585-8755,2017/11/17,,
5430,ローソン・スリーエフ日野多摩平店,東京都日野市多摩平１丁目１０番地の４,,,,食肉販売業(包装),新規,042-585-8755,2017/11/17,,
5431,ローソン・スリーエフ日野多摩平店,東京都日野市多摩平１丁目１０番地の４,,,,魚介類販売業(包装),新規,042-585-8755,2017/11/17,,
5432,ローソン・スリーエフ日野多摩平店,東京都日野市多摩平１丁目１０番地の４,,,,食料品等販売業(包装),新規,042-585-8755,2017/11/17,,
5433,ｆｕｌｌ　ＯＮ,東京都日野市多摩平１丁目１０番地の８,３階,株式会社ADX,東京都八王子市上野町3番5号,飲食店営業(一般飲食店),更新,042-586-6422,2011/4/12,,津久井　健一
5434,バーラウンジ亀,東京都日野市多摩平１丁目１０番地の８,２階,株式会社ＡＤＸ,東京都八王子市上野町3番5号,飲食店営業(一般飲食店),更新,042-583-7897,2011/4/4,,津久井　健一
5435,はなの舞　東京豊田店,東京都日野市多摩平１丁目１番地,ファミーユ京王３Ｆ,チムニー株式会社,東京都墨田区亀沢一丁目1番15号,飲食店営業(一般飲食店),更新,042-589-5605,2010/10/25,03-5610-8807,和泉　學
5436,宇奈忠,東京都日野市多摩平１丁目１番地,ファミーユ京王２Ｆ,有限会社アサヒ,東京都日野市多摩平１丁目１番地,飲食店営業(一般飲食店),更新,042-586-1315,1989/10/24,042-586-1315,大塚　悦子
5437,あん,東京都日野市多摩平１丁目２番地の１,共同ビル２Ｆ,,,飲食店営業(一般飲食店),更新,042-586-3757,1994/12/1,,
5438,松屋　豊田店,東京都日野市多摩平１丁目２番地の１８,第一ビル１Ｆ,株式会社　松屋フーズ,東京都武蔵野市中町１丁目１４番５号,飲食店営業(一般飲食店),更新,042-589-7126,1987/11/12,0422-38-1121,瓦葺　一利
5439,くいもの屋わん　豊田北口店,東京都日野市多摩平１丁目２番地の２,アムーザビル３階,株式会社オーイズミフーズ,神奈川県伊勢原市伊勢原２丁目５番４３号,飲食店営業(一般飲食店),更新,042-589-6262,2011/5/16,046-297-2511,大泉　賢治
5440,鳥貴族　豊田店,東京都日野市多摩平１丁目２番地の２,アムーザビル地下1階,株式会社鳥貴族,大阪府大阪市浪速区立葉１丁目２番１２号,飲食店営業(一般飲食店),更新,042-843-4331,2011/9/29,06-6562-5333,大倉　忠司
